code,name,level
1029002001,Recreational Products Manufacturer,Activity
10290020,Leisure,Industry
1029002002,Fitness Club and Facilities Operator,Activity
1029002003,Cruise Line,Activity
1029002099,Other Leisure Facilities,Activity
1029003001,Lodging,Activity
10290030,Lodging,Industry
1029004001,Resorts,Activity
10290040,Resorts & Casinos,Industry
1029004002,Casinos,Activity
1029005001,Travel Agency,Activity
10290050,Travel Services,Industry
1029005002,Tour Operator,Activity
1031001001,Diversified Fund,Activity
10310010,Asset Management,Industry
1031001002,Investment Management,Activity
1031001003,Wealth Management,Activity
1031001004,Private Equity,Activity
1031001005,Custodian Operations,Activity
1031001099,Other Asset Management Services,Activity
1032001001,International Retail Banking,Activity
10320010,Banks - Diversified,Industry
1032001002,International Wholesale Banking,Activity
1032001003,Community Development Bank,Activity
1032001004,International Financial Institution,Activity
1032001005,National Development Bank,Activity
1032001006,Multilateral Development Bank,Activity
1032001007,Export Credit Agency,Activity
1032001099,Other International Banking Activities,Activity
1032002001,Regional Retail Banking,Activity
10320020,Banks - Regional,Industry
1032002002,Regional Wholesale Banking,Activity
1032002099,Other Regional Banking Activities,Activity
1032003001,Mortgage Finance,Activity
10320030,Mortgage Finance,Industry
1032003002,Building Societies,Activity
1033001001,Investment Banking,Activity
10330010,Capital Markets,Industry
1033001002,Brokerage Services,Activity
1033002001,Financial Exchanges,Activity
10330020,Financial Data & Stock Exchanges,Industry
1033002002,Credit Rating and Reporting,Activity
1033002003,Financial Data and Research,Activity
1034001001,Life Insurance Provider,Activity
10340010,Insurance - Life,Industry
1034001002,Health Insurance Provider,Activity
1034002001,Non-Life Insurance Provider,Activity
10340020,Insurance - Property & Casualty,Industry
1034002002,Automotive Insurance Provider,Activity
1034002003,Commercial Business Insurance Provider,Activity
1034002004,Home Insurance Provider,Activity
1034003001,Insurance - Reinsurance,Activity
10340030,Insurance - Reinsurance,Industry
1034004001,Mortgage Insurance Provider,Activity
10340040,Insurance - Specialty,Industry
1034004002,Travel Insurance Provider,Activity
1034004099,Other Specialty Insurance Provider,Activity
1034005001,Insurance Brokers,Activity
10340050,Insurance Brokers,Industry
1034006001,Insurance - Diversified,Activity
10340060,Insurance - Diversified,Industry
1035001001,Shell Companies,Activity
10350010,Shell Companies,Industry
1035002001,Financial Conglomerates,Activity
10350020,Financial Conglomerates,Industry
1035002002,Holding Companies,Activity
1036001001,Credit Provider,Activity
10360010,Credit Services,Industry
1036001002,Collection Agencies,Activity
1036001003,Credit Evaluation,Activity
1041001001,Development of Residential Buildings,Activity
10410010,Real Estate - Development,Industry
1041001002,Development of Non Residential Buildings,Activity
1041002001,Acquisition and Ownership of Buildings,Activity
10410020,Real Estate Services,Industry
1041002002,Property Management,Activity
1041002003,"Real Estate Agent, Advisory and Solutions Provider",Activity
1041003001,Real Estate - Diversified,Activity
10410030,Real Estate - Diversified,Industry
1042001001,REIT - Hospital,Activity
10420010,REIT - Healthcare Facilities,Industry
1042001099,REIT - Long Term Care and Other Facilities,Activity
1042002001,REIT - Hotel & Motel,Activity
10420020,REIT - Hotel & Motel,Industry
1042003001,REIT - Industrial,Activity
10420030,REIT - Industrial,Industry
1042004001,REIT - Office,Activity
10420040,REIT - Office,Industry
1042005001,REIT - Apartment,Activity
10420050,REIT - Residential,Industry
1042005002,REIT - Single Family,Activity
1042006001,REIT - Mall,Activity
10420060,REIT - Retail,Industry
1042006002,REIT - Shopping Center,Activity
1042007001,REIT - Mortgage,Activity
10420070,REIT - Mortgage,Industry
1042008001,REIT - Advertising,Activity
10420080,REIT - Specialty,Industry
1042008002,REIT - Telecom Tower,Activity
1042008003,REIT - Timberland,Activity
1042008099,Other Specialty REIT,Activity
1042009001,REIT - Diversified,Activity
10420090,REIT - Diversified,Industry
2051001001,Beverages - Brewers,Activity
20510010,Beverages - Brewers,Industry
2051002001,Wine Producer,Activity
20510020,Beverages - Wineries & Distilleries,Industry
2051002002,Liquor Producer,Activity
2052001001,Carbonated Drink Producer,Activity
20520010,Beverages - Non-Alcoholic,Industry
2052001002,Non-Carbonated Drinks Producer,Activity
2052501001,Raw Sugar Manufacturer,Activity
20525010,Confectioners,Industry
2052501002,Chocolate Manufacturer,Activity
2052501099,Other Confectionery Products Manufacturer,Activity
2052502001,Growing of Perennial Crops,Activity
20525020,Farm Products,Industry
2052502002,Growing of Non-Perennial Crops,Activity
2052502003,Livestock Producer,Activity
